Status,Handle,ID,Name,Followers,Tweets,Date Created,Date Active
Suspended,@antifa158,966464199462440960,Antifa158,,,2018-02-21,2018-02-23
Suspended,@ANTIFA2018,906940496798474240,ANTIFA 2018,,,2017-09-10,2018-02-14
Suspended,@Antifa4DSA,796441410069266449,,,,,2017-09-27
Suspended,@Antifa90210,848196242429685761,BeverlyHillsAntifa,344,62,2017-04-01,2019-06-30
Suspended,@AntifaAlpha,957999383513100289,AlphaQuadrentAntifa,,,2018-01-29,2018-02-06
Suspended,@AntifaApache,928010490034507776,Apache Junction Antifa,,,2017-11-09,2019-08-05
Suspended,@AntifaAwareness,918956832550522881,Christopher Haddocks,,,2017-10-14,2018-01-19
Suspended,@AntifaBay,932717782894088192,Frisco Antifa,,,2017-11-19,2018-09-17
Suspended,@AntiFaBelAir,899472555068669952,Antifa Bel Air,,,2017-08-20,2018-01-11
Suspended,@AntifaBitcoin,1266984389591724032,Bitcoin Antifa,,,2020-05-30,2018-08-16
Suspended,@AntifaBoston,834561812607627264,Boston Antifa🌹,4597,2141,2017-02-21,2020-06-08
Suspended,@antifaboston_,898403119502983168,Boston Antifa,,,2017-08-18,2017-10-20
Suspended,@AntifaBostonUSA,894300389356580864,Boston Antifa,117,36,2017-08-06,2018-01-06
Suspended,@AntifaBranson,46504042,Branson Antifa,,,,2018-11-01
Suspended,@AntifaBuckhead,848300648277868546,BuckHead Antifa,288,107,2017-04-01,2017-07-17
Suspended,@antifabulous1,1052623700225417221,LiterallyShaking,,,2018-10-17,2020-08-10
Suspended,@Antifaca,859534816492093440,Antifa,259,230,2017-05-02,2017-08-28
Suspended,@AntifaCabo,940613263783444481,Cabo San Lucas Antifa,,,2017-12-13,2018-01-25
Suspended,@AntifaCambridge,848373904020312065,,,,2017-04-01,2020-09-12
Suspended,@AntifaCentCom,847983213574225920,AntifaCentralCommand,390,162,2017-03-31,2019-09-05
Suspended,@AntifaCheck,861719023318446080,Antfia Checker,0,1,2017-05-08,2020-06-15
Suspended,@AntifaCHECKUS,879158440395849728,Antifa Legitimacy,,,2017-06-25,2020-06-01
Suspended,@AntifaChicago,849836820942684162,Chicago Antifa,,,2017-04-05,2017-11-04
Suspended,@AntifaCloud,855656246552219648,Antifa Dresden,68,125,2017-04-22,2019-04-14
Suspended,@AntifaCommunity,843891448915398658,MicroJesusMagic™,,,2017-03-20,2017-05-14
Suspended,@AntifaComrade,903349847738257408,Comrade Antifa,,,2017-08-31,2017-09-17
Suspended,@AntifaComrade,903349847738257408,,,,,2017-08-31
Suspended,@AntifaDavos,848237023039283200,AFA_Davos,163,713,2017-04-01,2017-04-29
Suspended,@AntifaDelMar,858174128150388736,ANITFADelMar,,,2017-04-28,2017-04-29
Suspended,@AntifaDenver,849058824266936320,Shire LaBoof,18,7,2017-04-03,2020-10-04
Suspended,@AntifaDetroit,914309969436119040,Detroit ANTIFA,,,2017-10-01,2017-10-07
Suspended,@ANTIFADRAGQUEEN,1211014150643568640,Antifa Drag Queen,7,,2019-12-29,2020-11-24
Suspended,@AntifaDreiReich,857616021108207616,Antifa Reichstag,,,2017-04-27,2017-04-27
Suspended,@AntifaEagleford,865030358680522752,ANTIFA Everywhere,111,279,2017-05-18,2019-09-27
Suspended,@antifaedmonton,847970457026416641,Antifa Edmonton,357,167,2017-03-31,2017-05-29
Suspended,@AntiFaFails,854018002559410178,🔥United We Rise🐻🇺🇸🇨🇦,,,2017-04-17,2020-06-18
Suspended,@AntifaForYou,848143645408727047,Antifa Norge,229,90,2017-04-01,2017-09-08
Suspended,@AntifaFranklin,1030264962558648321,2020 Election Healing & Reconciliation Bot,,,2018-08-16,2020-11-20
Suspended,@AntifaFree,899078999472787457,110% Free Speech Antifa ✘,153,635,2017-08-19,2020-12-16
Suspended,@AntifaGlobal,882045980530671616,Antifa,,,2017-07-03,2018-06-02
Suspended,@AntifaGTA,848421539771027456,Toronto Antifa,391,472,2017-04-02,2019-10-23
Suspended,@AntiFAH0llyw00d,881098553195601920,Antifa Hollywood,,,2017-06-29,2018-01-15
Suspended,@AntifaHamptons,777196689652232192,"Antifa Hamptons, NY",347,1174,,2021-01-29
Suspended,@AntifaHarpenden,854247876893057024,RED ACTION,61,259,2017-04-17,2017-04-23
Suspended,@AntifaHo,997773471001309190,@AbsolutelyFab11,,,2018-05-17,2018-06-10
Suspended,@AntifaHo2,1007658838424735744,Tinder Slut Antifa 🏴,,,,2018-07-18
Suspended,@AntifaHole,1217236702173057026,Not Jackson Hole Antif,,,2020-01-15,2020-01-27
Suspended,@AntifaHole2,1211797285455032320,Antifa of Jackson Hole,,,2019-12-31,2020-01-02
Suspended,@AntifaHole23,1418768151706284035,Jackson Hole Antifa,136,,2021-07-23,2021-10-01
Suspended,@antifahole24,1422608516649455616,Jackson Hole Antifa,13,,2021-08-03,2021-10-05
Suspended,@AntifaHole27,1446316449597902850,Jackson Hole Antifa,91,,2021-10-08,2021-11-04
Suspended,@AntifaHole29,1457717140442816517,Jackson Hole Antifa,,,2021-11-08,2021-11-08
Suspended,@AntifaHole4,1219130611887153155,Antifa of Jackson Hole,,,2020-01-20,2020-06-10
Suspended,@AntifaHole43,1473765774800134146,Jackson Hole Antifa,83,,2021-12-22,2022-01-10
Suspended,@AntifaHole49,1478195591125606403,Jacksn Hole Antifa,49,,2022-01-03,2022-01-25
Suspended,@AntifaHollywood,849869409069842432,Antifa Hollywood,,,2017-04-05,2018-07-26
Suspended,@AntifaHonolulus,913539061146558465,❌FactFinder❌,,,2017-09-28,2018-08-15
Suspended,@antifahotline,2886595444,Antifa Hotline,,,,2019-10-06
Suspended,@AntifaHouston,856523968555216897,Houston Antifa,,,2017-04-23,2019-07-31
Suspended,@AntifaIN,885265724163457026,Antifa Indy,,,2017-07-12,2020-09-12
Suspended,@AntifaJackson,859634322369916928,NEVERLAND ANTIFA,213,1556,2017-05-04,2018-02-13
Suspended,@AntifaJackson10,1103644907179110401,NEVERLAND ANTIFA,,,2019-03-07,2019-03-09
Suspended,@antifajackson11,1109251660214263808,NEVERLAND ANTIFA,,,2019-03-22,2019-06-26
Suspended,@antifajackson12,1147298711564779522,NEVERLAND ANTIFA,,,2019-07-05,2019-07-27
Suspended,@AntifaJackson13,1156094425719660544,NEVERLAND ANTIFA,165,,2019-07-31,2019-11-05
Suspended,@AntifaJackson2,967909935529967616,NEVERLAND ANTIFA,,,2018-02-25,2018-03-21
Suspended,@AntifaJackson3,997268372155875330,NEVERLAND ANTIFA,,,2018-05-17,2018-05-29
Suspended,@AntifaJackson4,1001543659555192832,NEVERLAND ANTIFA,,,,2018-08-01
Suspended,@AntifaJackson5,1006225190500499457,NEVERLAND ANTIFA,,,,2018-08-02
Suspended,@AntifaJackson6,1027657607257841664,NEVERLAND ANTIFA,,,2018-08-09,2018-09-12
Suspended,@AntifaJackson8,1030340891838271488,NEVERLAND ANTIFA,,,2018-08-16,2019-03-04
Suspended,@AntifaJackson9,1042267471820972033,NEVERLAND ANTIFA,,,2018-09-18,2019-03-06
Suspended,@AntifaJessica,922415411840389120,Jessica Antifa,,,2017-10-21,2018-01-27
Suspended,@AntifaKekistan,866039154005684224,Antifa Kekistan,,,2017-05-19,2017-05-20
Suspended,@AntifaKern,848053471731253248,AntifaKern,434,260,2017-03-31,2017-07-31
Suspended,@antifaleader,870579208443002881,Antifa Leader,,,2017-06-01,2017-06-22
Suspended,@Antifalosangele,879636787563331584,ANTI-FASCIST_L.A.,,,2017-06-26,2017-07-12
Suspended,@AntifaMelbourne,932461086271516672,Antifa Melbourne,,,2017-11-19,2018-11-16
Suspended,@ANTIFAmerikkk,1203824977016840193,ANTIFA,,,2019-12-09,2019-12-11
Suspended,@AntifaMidwest,847675510926622723,Midwest Antifa 🌊🌹,2227,1735,2017-03-30,2019-10-24
Suspended,@AntifaMons,932380684789911552,White House Antifa ☭ ⚑ ☪ ☮,,,2017-11-19,2018-10-30
Suspended,@AntifaMorehead,886301489282465792,"Morehead,NB Antifa",,,2017-07-14,2017-07-22
Suspended,@AntifaMussolini,874997883568873474,Antifa Mussolini,,,2017-06-12,2017-08-20
Suspended,@AntifaNantucket,952274270842966021,AntifaNantucket,,,2018-05-24,2020-09-06
Suspended,@antifanashville,850705664305487872,AntifaNashville 🏴,55,20,2017-04-08,2020-12-25
Suspended,@AntifaOakville,904806276051423237,,,,,2017-09-16
Suspended,@ANTIFAOfAmerica,1198702207870234624,ANTIFA Amerikkk,,,2019-11-24,2019-11-27
Suspended,@AntifaOfficial,861262298660298752,Antifa,200,4463,2017-05-07,2017-09-25
Suspended,@AntifaOfJackson,1489653888391262215,Antifa Of Jackson Hole,,,2022-02-04,2022-06-05
Suspended,@ANTIFAphilly,846286971735621633,ANTIFA Philadelphia,156,62,2017-03-27,2018-08-06
Suspended,@AntiFaPhoenix,848013886145961984,ScottsdaleAntiFa,362,320,2017-03-31,2019-09-05
Suspended,@AntifaPortIand,1283196613322608640,☭ Antifa Portland ☭,1242,49,2020-07-15,2020-09-03
Suspended,@AntiFaPR,897482931257692162,Official AntiFa PR,,,2017-08-14,2018-11-07
Suspended,@AntifaPress,841265713130176514,Antifa Press🌹,125,74,2017-03-02,2017-09-25
Suspended,@antifarichmond,1219032824092577792,Richmond ANTIFA ☭,,,2020-01-20,2020-01-20
Suspended,@AntifaRiver,966410378736537601,River City Antifa,,,2018-02-20,2019-12-23
Suspended,@Antifarulez1,1164307332869832711,Antifarulez,,,2019-08-22,2019-09-07
Suspended,@AntifaSac,883140987345874944,Antifa Sacramento,,,2017-07-06,2020-12-05
Suspended,@AntifaSahara,855878679834046469,Antifa Sahara,235,77,2017-04-22,2017-04-30
Suspended,@AntifaSaItLake,863439245704175617,Salt Lake Antifa,315,4578,2017-05-12,2019-08-20
Suspended,@Antifascist19,900556562607087616,Johnathan Rogers,13,12,2017-08-23,2019-08-27
Suspended,@AntiFashAct,1178662426335559681,☭ ANTIFA Action of America ☭,,,2019-09-30,2019-10-04
Suspended,@AntifaShatner,1020080264435904516,❌ Black Lez Antifa ⚒🥄💉,,,2018-07-19,2018-08-02
Suspended,@Antifasistisk,4437180073,Antifa Warrior,,,,2017-05-30
Suspended,@AntifaSoCal,848420004290625539,ANTIFA-LOS ANGELES,,,2017-04-02,2017-04-22
Suspended,@AntifaSouth,879728950422982658,Antifa South Florida,,,2017-06-27,2019-02-02
Suspended,@AntifaSpokane,873754644903641089,,,,,2018-11-09
Suspended,@AntifaStockton,941689547691237376,Stockton Antifa,,,2017-12-15,2017-12-21
Suspended,@AntifaSydney,900190190433558528,Sydney Antifa,,,2017-08-21,2020-01-30
Suspended,@AntifaVillage,1028201152007950336,Westlake Village Antifa,,,2018-08-11,2018-08-11
Suspended,@AntifaWinnipeg,930663759751852032,Winnipeg Antifa,,,2017-11-14,2018-01-26
Suspended,@ANTlFACHECKER,848574024258998272,Antifa CHECKer,199,471,2017-04-02,2018-01-28
Suspended,@AofAntifa,1084535057568608256,AofAntifa,,,2019-01-01,2019-01-16
Suspended,@Arizona_Antifa,828855385591123968,Grand Canyon Antifa,,,2017-02-05,2018-12-31
Suspended,@ArmThePoor83,99467650,,,,,2021-05-06
Suspended,@ArmyAntifa,954344158113644544,☭ I.E.ANTIFA ☭,,,2018-01-19,2018-01-26
Suspended,@AscotAntifa,853891309375037441,Ascot Antifa ✡️☪️ 📎,144,564,2017-04-16,2017-05-30
Suspended,@AskAntifa,847732222446542848,Ask Antifa,48,143,2017-03-31,2019-04-28
Suspended,@AtlantaAntifa,849279726472617984,Atlanta ANTIFA,465,313,2017-04-03,2017-09-19
Suspended,@AustinAntifa,847659164708913153,AustinAntifa,562,273,2017-03-30,2020-10-02
Suspended,@Baghdad_Antifa,865936712614203393,,,,,2017-07-27
Suspended,@BallengerAntifa,861993214265393152,BallengerCreekAntifa,,,2017-05-09,2018-01-18
Suspended,@BarrowAntifa,848344916472115200,Barrow Antifa☭Ⓐ🇰🇵,585,595,2017-04-01,2018-05-05
Suspended,@baycityvince,927978051601944576,BRONY ANTIFA,,,2017-11-08,2017-11-29
Suspended,@BBAntifascists,909592904598921216,Black Bloc Antifa,,,2017-09-17,2018-01-16
Suspended,@BelAirAntifa,854850591402713088,Bel Air Antifa ✊,621,802,2017-04-20,2017-10-01
Suspended,@BelfastAntifa,873556752566030336,Belfast Antifa 🏴,89,656,2017-06-10,2017-07-11
Suspended,@Berkeleyantifa1,904772755345752066,,,,,2018-01-16
Suspended,@BeverlyHillsSoc,986645874674552833,BeverlyHillsDSA,,,2018-04-17,2018-04-25
Suspended,@BevHillsAntifa,847356759270277125,Beverly Hills Antifa,21900,1562,2017-03-30,2020-06-13
Suspended,@bevhillsantifa2,954384632740376576,Beverly Hills Antifa,,,2018-01-19,2018-02-10
Suspended,@BevHillsAntifa3,965020000451944449,Beverly Hills Antifa,,,2018-02-16,2020-09-06
Suspended,@BevHillsAntifa5,967048458765873152,Beverly Hills Antifa,,,2018-02-23,2018-04-03
Suspended,@BevHillsAntifa7,982863405861060609,Beverly Hills Antifa,,,2018-04-07,2018-09-17
Suspended,@BevHillsAntifa8,1054441359308816384,Beverly Hills Antifa,,,2018-10-22,2018-10-26
Suspended,@bevhillsantifa9,1055457608356716544,Beverly Hills Antifa,,,2018-10-24,2018-10-28
Suspended,@BirdvilleAntifa,864173547714990080,BISD Antifa,,,2017-05-15,2017-05-15
Suspended,@Black_Antifa,851550846735331330,Black Antifa,85,61,2017-04-11,2017-04-21
Suspended,@BlankeneseAA,853302116252864512,Blankenese Antifa,,,2017-04-15,2020-01-22
Suspended,@BMarshAntifa,902258888971509761,Beaver Marsh Antifa,,,2017-08-28,2017-09-14
Suspended,@BobRossAntifa,1145601060,Bob 'Christmas Tree' Ross,,,,2018-12-02
Suspended,@Boise_Antifa,902416453139234816,Boise Antifa,,,2017-08-28,2018-10-06
Suspended,@BollywoodAntifa,904229658073464834,Bollywood Antifa,,,2017-09-02,2017-09-25
Suspended,@BostnAntiAntifa,845754565999972354,Boston ANTI-ANTIFA,51,80,2017-03-26,2017-11-17
Suspended,@BostonBikers,1016415800801071107,Dustin Levitt,,,2018-07-07,2020-08-21
Suspended,@BostonBobAntifa,938456024993992705,Boston Bob Antifa,,,2017-12-04,2018-09-28
Suspended,@bostownantifa,861818257321455617,North Shore Antifa,279,602,2017-05-08,2017-12-09
Suspended,@BoulderCOAntifa,854141744555806721,BoulderCOAntifa,,,2017-04-17,2017-04-22
Suspended,@BrooklynANTIFA,856319643362971648,Brooklyn ANTIFA,,,2017-04-23,2017-08-31
Suspended,@brunswickantifa,902860254303674369,Golden Isles AntiFa,,,2017-08-30,2017-08-30
Suspended,@Burnt250,971225409332305921,The Day Waits,,,2018-03-06,2018-11-04
Suspended,@BushwickAntifa,855615260467900416,Bushwick Antifa,107,64,2017-04-22,2017-06-10
Suspended,@cabo_antifa,1070348929416359937,Cabo San Lucas Antifa,,,2018-12-04,2019-02-05
Suspended,@cabo_antifa4,980220673913110528,Cabo San Lucas Antifa,,,2018-03-31,2018-08-16
Suspended,@CaboAntifa,967872013044916225,Cabo San Lucas Antifa,,,2018-02-25,2018-03-22
Suspended,@CaliAntifa,855128849423765504,California Antifa 🌹,549,8370,2017-04-20,2018-01-29
Suspended,@CatalinaAntifa,903442602904641536,Catalina Antifa,,,2017-08-31,2017-09-26
Suspended,@CdnISISFighter,864814869526310912,Returning,36,467,2017-05-17,2017-11-28
Suspended,@CelebrityAntifa,859165976423747587,Celebrity Antifa,80,45,2017-05-01,2017-05-01
Suspended,@CFA_NAmerica,1248073898412793858,Chick-fil-A,,,2020-04-09,2020-04-17
Suspended,@chaz_jackson17,1271473839965302784,ANGEL OF NEVERLAND,,,2020-06-12,2020-09-10
Suspended,@ChickinFilAUS,1217201583034732546,,,,2020-01-15,2020-01-19
Suspended,@CincyANTIFA,854602334193766400,Cincinnati ANTIFA,,,2017-04-19,2020-06-14
Suspended,@clairecmck,847863014200135681,Claire McCaskill,,,2017-03-31,2018-07-28
Suspended,@CoastalAntifa,922469230339149826,BasedBoredom,,,2017-10-21,2018-01-29
Suspended,@CompedToResist,968795887626579968,Mandalay Bay Antifa ☭✊,,,2018-02-26,2018-03-09
Suspended,@Constifa,929151418329649153,Constifa,,,2017-11-10,2020-06-16
Suspended,@crac_center,880772838482780160,C.R.A.C.C.,,,2017-06-29,2017-09-16
Suspended,@CUCKEDANTIFA,1222803533747060736,ANTIFA of GREATER ATLANTA,,,2020-01-30,2020-02-05
Suspended,@CWBAntifa,848630478924128256,ClearwaterFlAntifa🌹,657,3926,2017-04-02,2019-02-19
Suspended,@DarrellMerrell,862717958174515201,#RefugeesWelcome🍅,,,2017-05-11,2017-12-21
Suspended,@Dc_protests,910673270361481217,Dc protest,,,2017-09-20,2017-09-28
Suspended,@DeeznutsAntifa,985306649488510976,DeezNuts Antifa,,,2018-04-14,2018-05-30
Suspended,@DemSocAss,991478895839924225,🌹OfficialDSA🌹,,,2018-04-30,2018-05-08
Suspended,@DickFuentes_,879537891541745664,Dick Fuentes,,,2017-06-26,2018-01-10
Suspended,@diogenerous,906205660672663553,Deputy Diogenes,,,2017-09-06,2021-03-01
Suspended,@DoggoRighto,885360095944691712,,,,,2017-11-30
Suspended,@DrJinx2,1164774877074608129,Dr. Jinx,,,2019-08-23,2019-08-30
Suspended,@DrJinx3,1177025845107412992,Dr Jinx,,,2019-09-26,2019-12-14
Suspended,@Dustin27Antifa,850078397422198784,Dustin 28,383,213,2017-04-05,2019-11-17
Suspended,@East_Stl_Antifa,920819446557696000,East Stl Antifa,,,,2017-11-14
Suspended,@EastDetAntiFa,849659695862353920,East Detroit Anti-Fa,120,27,2017-04-04,2019-09-05
Suspended,@EndorAntifa,854430136778862594,Endor Antifa,135,58,2017-04-17,2017-04-21
Suspended,@EricWebsite,900058631160320000,Eric Clapton,,,,2017-10-04
Suspended,@eugene_antifa,858155175139090432,Eugene Antifa,,,2017-04-28,2019-06-13
Suspended,@Exit7aAntifa,804910172934205440,Garden State Antifa,,,,2019-01-11
Suspended,@exquisite_ghost,961072719763619840,Deine Führerin Tulpe von LärpSec🌷AnonHunterHunter,,,2018-02-05,2018-03-13
Suspended,@FacelessRonin,855826472145178624,Faceless Ronin ❁,500,125,2017-04-22,2018-04-14
Suspended,@FashyHannah,920959058995113985,Fashy Hannah,,,2017-10-18,2019-08-11
Suspended,@FcBarcaAntifa,902638758989893632,FC Barca Antifa,,,2017-08-29,2017-11-04
Suspended,@FifthAveAntiFa,847967575283728385,Fifth Avenue Antifa,2140,1088,2017-03-31,2017-10-18
Suspended,@FoxNewsCh,1165000400791048194,Fox News Channel,,,2019-08-23,2019-08-26
Suspended,@FuckAntifaNinja,1067183238513389568,Fuck Antifa Ninja,,,2018-11-26,2018-11-27
Suspended,@FuhrerinTulip,987484464438628352,Innocuous Tulip 👀🌷#LarpSec☄💥OpWolverines💥,,,2018-04-20,2018-06-02
Suspended,@FW_Antifa,884798137835106304,Fort Worth Antifa,,,2017-07-10,2017-07-12
Suspended,@GeosMovements,372390458,NPC GeoMovements parody,,,,2018-10-07
Suspended,@GitmoAntifa,904381809558999040,Gitmo Antifa,,,2017-09-02,2017-09-19
Suspended,@GoatFishAntifa,1162262225165287424,Austin Nmeba,37,,2019-08-16,2020-01-01
Suspended,@goatseAntifa,902971159209062401,,,,,2017-09-04
Suspended,@GreenwichAntiFa,847987449712312325,Greenwich AntiFa,1239,1887,2017-03-31,2020-04-04
Suspended,@GulfportAntfita,848710129851781125,The REAL Debbie Lynn,499,760,2017-04-02,2017-12-24
Suspended,@HairyAntifaGirl,854810311144218626,HairyAntifaGirl,91,257,2017-04-19,2017-08-16
Suspended,@HernandoAntifa,849086159250739202,Spring Hill Antifa,106,20,2017-04-03,2017-09-04
Suspended,@HHAntifa,1252965943,Hilton Head Antifa,332,141,,2019-09-05
Suspended,@Hillary_PAC,910341574428471296,Hillary Clinton PAC,,,2017-09-19,2018-05-05
Suspended,@HillsAntifa,1150131830148018179,Beverly Hills Antifa,,,2019-07-13,2020-11-29
Suspended,@HogItFgt,1082675175584354304,let bob be,,,2019-01-08,2019-12-27
Suspended,@HoleAntifa,1286710058261323776,Definetly NOT Jackson Hole Antifa,298,,2020-07-25,2020-08-19
